split,metric,run1,run2,run3,mean,std,cv_pct,spread,baseline,delta_vs_base,delta_over_std,teacher,pct_of_teacher
daytime,precision,0.6414,0.6297,0.6284,0.6331666666666668,0.0071598417114719206,1.1307989015222826,0.013000000000000012,0.6344,-0.0012333333333331975,-0.17225706699033277,0.6683,94.74287994413687
daytime,recall,0.469,0.4746,0.4804,0.4746666666666666,0.00570029239016153,1.2009042956800977,0.011400000000000021,0.4527,0.021966666666666634,3.8536034931436496,0.5294,89.66125173151995
daytime,f1,0.5384,0.5388,0.5426,0.5399333333333333,0.0023180451534284947,0.4293206235513943,0.0041999999999999815,0.5257,0.01423333333333332,6.140231268697061,0.589,91.66949632144878
daytime,map50,0.5014,0.4989,0.5036,0.5013,0.0023515952032609868,0.46909938225832576,0.0047000000000000375,0.4893,0.011999999999999955,5.10291906675069,0.5597,89.56583884223691
daytime,map50_95,0.2836,0.2838,0.2828,0.28340000000000004,0.0005291502622129227,0.18671498313794024,0.0010000000000000009,0.2771,0.006300000000000028,11.905880899790606,0.3261,86.90585709904938
night,precision,0.6025,0.6054,0.5819,0.5966,0.012812884140582908,2.147650710791637,0.023500000000000076,0.567,0.02960000000000007,2.3101746394667275,0.6257,95.34920888604763
night,recall,0.4556,0.4645,0.473,0.46436666666666665,0.008700766249781285,1.8736844985531445,0.01739999999999997,0.4281,0.03626666666666667,4.168215261222346,0.4915,94.47948457104103
night,f1,0.5148,0.523,0.5185,0.5187666666666667,0.004106498914322673,0.791588815971729,0.008199999999999985,0.4838,0.0349666666666667,8.514958215308358,0.5484,94.59640165329445
night,map50,0.474,0.4816,0.4783,0.47796666666666665,0.003810949138119443,0.7973252956523,0.007599999999999996,0.447,0.030966666666666642,8.125709775792888,0.5156,92.70106025342643
night,map50_95,0.2543,0.2602,0.2612,0.25856666666666667,0.0037287173844813134,1.4420719548077787,0.006899999999999962,0.242,0.016566666666666674,4.442993383090951,0.2819,91.72283315596547
