model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Student YOLOv8s Baseline,daytime,bike,0.5648,0.3145,0.404,0.3462,0.1675
Student YOLOv8s Baseline,daytime,bus,0.6215,0.4522,0.5235,0.4663,0.3635
Student YOLOv8s Baseline,daytime,car,0.7677,0.6877,0.7255,0.7426,0.4788
Student YOLOv8s Baseline,daytime,motor,0.4831,0.3813,0.4262,0.3556,0.1538
Student YOLOv8s Baseline,daytime,person,0.6455,0.5168,0.574,0.5677,0.2823
Student YOLOv8s Baseline,daytime,rider,0.6043,0.3232,0.4212,0.3536,0.1835
Student YOLOv8s Baseline,daytime,traffic light,0.6914,0.4558,0.5494,0.5136,0.209
Student YOLOv8s Baseline,daytime,traffic sign,0.7013,0.4842,0.5729,0.5436,0.2824
Student YOLOv8s Baseline,daytime,train,0.4776,0.5,0.4885,0.5,0.1257
Student YOLOv8s Baseline,daytime,truck,0.6026,0.5071,0.5508,0.5062,0.3695
Student YOLOv8s Baseline,night,bike,0.521,0.3511,0.4195,0.3536,0.1337
Student YOLOv8s Baseline,night,bus,0.4613,0.4077,0.4328,0.3757,0.2953
Student YOLOv8s Baseline,night,car,0.6999,0.6793,0.6894,0.7192,0.4107
Student YOLOv8s Baseline,night,motor,0.3985,0.2558,0.3116,0.2022,0.1117
Student YOLOv8s Baseline,night,person,0.5933,0.46,0.5182,0.4887,0.2352
Student YOLOv8s Baseline,night,rider,0.506,0.3051,0.3807,0.3467,0.1971
Student YOLOv8s Baseline,night,traffic light,0.6395,0.5133,0.5695,0.5153,0.1716
Student YOLOv8s Baseline,night,traffic sign,0.6816,0.5613,0.6156,0.6034,0.3055
Student YOLOv8s Baseline,night,train,1.0,0.0,0.0,0.0,0.0
Student YOLOv8s Baseline,night,truck,0.5956,0.4615,0.5201,0.4777,0.348
