model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Student YOLOv8s KD,daytime,bike,0.506,0.3481,0.4125,0.3625,0.1572
Student YOLOv8s KD,daytime,bus,0.6115,0.5048,0.553,0.499,0.3952
Student YOLOv8s KD,daytime,car,0.7655,0.6916,0.7267,0.7443,0.4803
Student YOLOv8s KD,daytime,motor,0.5415,0.416,0.4705,0.3954,0.1739
Student YOLOv8s KD,daytime,person,0.6795,0.5128,0.5845,0.5742,0.2894
Student YOLOv8s KD,daytime,rider,0.5865,0.3283,0.421,0.3713,0.1883
Student YOLOv8s KD,daytime,traffic light,0.7038,0.4524,0.5508,0.5128,0.2104
Student YOLOv8s KD,daytime,traffic sign,0.6949,0.4854,0.5716,0.5425,0.2809
Student YOLOv8s KD,daytime,train,0.0,0.0,0.0,0.0419,0.0057
Student YOLOv8s KD,daytime,truck,0.6446,0.5046,0.5661,0.4996,0.361
Student YOLOv8s KD,night,bike,0.5738,0.3289,0.4181,0.3383,0.1353
Student YOLOv8s KD,night,bus,0.5274,0.4692,0.4966,0.4184,0.3211
Student YOLOv8s KD,night,car,0.7614,0.6454,0.6986,0.7185,0.411
Student YOLOv8s KD,night,motor,0.422,0.2093,0.2798,0.2071,0.1158
Student YOLOv8s KD,night,person,0.6772,0.4256,0.5227,0.5021,0.2422
Student YOLOv8s KD,night,rider,0.6812,0.339,0.4527,0.3744,0.2133
Student YOLOv8s KD,night,traffic light,0.6943,0.4487,0.5451,0.5181,0.1725
Student YOLOv8s KD,night,traffic sign,0.7335,0.5112,0.6025,0.603,0.306
Student YOLOv8s KD,night,train,1.0,0.0,0.0,0.0,0.0
Student YOLOv8s KD,night,truck,0.6495,0.4375,0.5228,0.4613,0.3299
