model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Teacher YOLOv8l FT,daytime,bike,0.5687,0.3925,0.4644,0.3969,0.1984
Teacher YOLOv8l FT,daytime,bus,0.6402,0.5359,0.5834,0.545,0.4307
Teacher YOLOv8l FT,daytime,car,0.8149,0.7252,0.7674,0.7878,0.5159
Teacher YOLOv8l FT,daytime,motor,0.5979,0.44,0.5069,0.4381,0.2254
Teacher YOLOv8l FT,daytime,person,0.7281,0.5809,0.6462,0.6448,0.3322
Teacher YOLOv8l FT,daytime,rider,0.7103,0.3788,0.4941,0.4492,0.239
Teacher YOLOv8l FT,daytime,traffic light,0.7672,0.5173,0.6179,0.6075,0.26
Teacher YOLOv8l FT,daytime,traffic sign,0.7422,0.5638,0.6408,0.631,0.3398
Teacher YOLOv8l FT,daytime,train,0.0,0.0,0.0,0.1158,0.0134
Teacher YOLOv8l FT,daytime,truck,0.6463,0.5356,0.5858,0.5508,0.4057
Teacher YOLOv8l FT,night,bike,0.5902,0.4122,0.4854,0.4344,0.1815
Teacher YOLOv8l FT,night,bus,0.4763,0.4692,0.4727,0.4163,0.3295
Teacher YOLOv8l FT,night,car,0.7475,0.7016,0.7239,0.7524,0.4378
Teacher YOLOv8l FT,night,motor,0.4874,0.3256,0.3904,0.3385,0.1552
Teacher YOLOv8l FT,night,person,0.6572,0.5192,0.5801,0.5654,0.281
Teacher YOLOv8l FT,night,rider,0.6795,0.4068,0.5089,0.4276,0.2392
Teacher YOLOv8l FT,night,traffic light,0.6808,0.5347,0.599,0.5655,0.1933
Teacher YOLOv8l FT,night,traffic sign,0.7167,0.6063,0.6569,0.6658,0.3506
Teacher YOLOv8l FT,night,train,1.0,0.0,0.0,0.0,0.0
Teacher YOLOv8l FT,night,truck,0.6048,0.524,0.5615,0.5213,0.3753
