model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Student YOLOv8s KD,daytime,bike,0.5788,0.3208,0.4128,0.3375,0.1597
Student YOLOv8s KD,daytime,bus,0.6385,0.4785,0.547,0.4975,0.3942
Student YOLOv8s KD,daytime,car,0.7993,0.6765,0.7328,0.743,0.4793
Student YOLOv8s KD,daytime,motor,0.5841,0.36,0.4455,0.3949,0.1785
Student YOLOv8s KD,daytime,person,0.7312,0.4835,0.5821,0.5734,0.2871
Student YOLOv8s KD,daytime,rider,0.6433,0.303,0.412,0.3647,0.1859
Student YOLOv8s KD,daytime,traffic light,0.741,0.429,0.5434,0.5125,0.2093
Student YOLOv8s KD,daytime,traffic sign,0.7245,0.4672,0.5681,0.5421,0.281
Student YOLOv8s KD,daytime,truck,0.6412,0.4828,0.5508,0.4923,0.3578
Student YOLOv8s KD,night,bike,0.5159,0.3206,0.3955,0.3192,0.1327
Student YOLOv8s KD,night,bus,0.5238,0.44,0.4783,0.3994,0.3164
Student YOLOv8s KD,night,car,0.6855,0.6857,0.6856,0.7198,0.4116
Student YOLOv8s KD,night,motor,0.4564,0.2791,0.3464,0.2793,0.1556
Student YOLOv8s KD,night,person,0.6217,0.4576,0.5272,0.4997,0.2403
Student YOLOv8s KD,night,rider,0.791,0.4237,0.5519,0.4429,0.2258
Student YOLOv8s KD,night,traffic light,0.6341,0.5142,0.5679,0.5183,0.1702
Student YOLOv8s KD,night,traffic sign,0.6693,0.5637,0.612,0.606,0.3054
Student YOLOv8s KD,night,truck,0.5909,0.4712,0.5243,0.4632,0.3313
