model_name,split,class_name,precision,recall,f1,ap50,ap50_95
Teacher YOLOv8l FT,daytime,bike,0.541,0.3943,0.4562,0.403,0.1942
Teacher YOLOv8l FT,daytime,bus,0.6979,0.5215,0.597,0.5413,0.4273
Teacher YOLOv8l FT,daytime,car,0.7941,0.7331,0.7624,0.7862,0.5177
Teacher YOLOv8l FT,daytime,motor,0.5748,0.496,0.5325,0.4576,0.2239
Teacher YOLOv8l FT,daytime,person,0.7127,0.5777,0.6382,0.6444,0.3356
Teacher YOLOv8l FT,daytime,rider,0.602,0.3687,0.4573,0.4064,0.223
Teacher YOLOv8l FT,daytime,traffic light,0.7376,0.5404,0.6238,0.6054,0.2613
Teacher YOLOv8l FT,daytime,traffic sign,0.7164,0.5792,0.6405,0.6308,0.3394
Teacher YOLOv8l FT,daytime,truck,0.6382,0.5536,0.5929,0.5624,0.4123
Teacher YOLOv8l FT,night,bike,0.5566,0.3817,0.4528,0.4282,0.1824
Teacher YOLOv8l FT,night,bus,0.6016,0.4413,0.5091,0.4182,0.3291
Teacher YOLOv8l FT,night,car,0.7326,0.7057,0.7189,0.7511,0.4361
Teacher YOLOv8l FT,night,motor,0.4782,0.3256,0.3874,0.2891,0.1339
Teacher YOLOv8l FT,night,person,0.6627,0.5072,0.5746,0.5671,0.28
Teacher YOLOv8l FT,night,rider,0.6074,0.3898,0.4749,0.4295,0.2449
Teacher YOLOv8l FT,night,traffic light,0.6722,0.548,0.6038,0.5656,0.1959
Teacher YOLOv8l FT,night,traffic sign,0.7141,0.6074,0.6564,0.6626,0.3519
Teacher YOLOv8l FT,night,truck,0.6058,0.5168,0.5578,0.5288,0.3831
